ID,Camion ID,Départ,Arrivée,distance_km,Marchandise,marchandise_code,Poids (kg),Volume (m³),Capacité poids max(kg),Capacité volume max(m³),Type camion,type_camion_detail,vehicule_code,taux_remplissage,densite_ratio,charge_x_distance,route_code,heure_debut,heure_fin,duree_h,jour_semaine,mois,est_weekend,heure_sin,heure_cos,consommation_L,coef_dynamique
1333,34,Tanger,Casablanca,340.0,Électronique,0,1246,10.64,1500,14,Camionnette,Camionnette,0,0.8306666666666667,117.10526315789473,282.4266666666667,1,8,12,4,1,5,0,0.8660254037844387,-0.4999999999999998,44.97,1.2024064171122995
1334,44,Marrakech,Fes,533.0,Textile,1,7662,40.27,9000,50,Porteur,Camionnette,0,0.8513333333333334,190.26570648125153,453.7606666666667,0,12,18,6,3,4,0,1.2246467991473532e-16,-1.0,70.95,1.2101313320825515
1335,35,Marrakech,Tanger,574.0,Métal,2,24643,85.77,26000,90,Semi-remorque,Camionnette,0,0.953,287.3149119738837,547.0219999999999,0,10,14,4,0,5,0,0.49999999999999994,-0.8660254037844387,81.6,1.2923661704149507
1337,4,Agadir,Marrakech,253.0,Textile,1,7876,41.83,9000,50,Porteur,Semi-remorque,3,0.8751111111111111,188.28591919674875,221.4031111111111,1,11,16,5,5,4,1,0.258819045102521,-0.9659258262890682,108.26,1.2225861095426314
1339,49,Marrakech,Tanger,574.0,Métal,2,24763,89.26,26000,90,Semi-remorque,Semi-remorque,3,0.9917777777777779,277.42549854358055,569.2804444444445,0,10,17,7,3,5,0,0.49999999999999994,-0.8660254037844387,261.73,1.3027874564459931
1340,33,Agadir,Marrakech,253.0,Métal,2,25515,81.85,26000,90,Semi-remorque,Camionnette,0,0.9813461538461539,311.72877214416616,248.28057692307692,1,11,13,2,6,5,1,0.258819045102521,-0.9659258262890682,34.49,1.239310097017607
1341,9,Fes,Agadir,716.0,Électronique,0,1366,8.15,1500,14,Camionnette,Semi-remorque,3,0.9106666666666666,167.6073619631902,652.0373333333333,0,11,15,4,0,5,0,0.258819045102521,-0.9659258262890682,309.1,1.233439744612929
1342,7,Agadir,Tanger,800.0,Textile,1,7511,32.14,9000,50,Porteur,Semi-remorque,3,0.8345555555555556,233.6963285625389,667.6444444444445,0,7,10,3,2,5,0,0.9659258262890683,-0.25881904510252063,297.85,1.06375
1343,44,Fes,Agadir,716.0,Métal,2,24167,87.48,26000,90,Semi-remorque,Camionnette,0,0.9720000000000001,276.2574302697759,695.9520000000001,0,9,16,7,4,5,0,0.7071067811865476,-0.7071067811865475,103.28,1.3113255459624173
1344,6,Fes,Marrakech,533.0,Textile,1,7410,42.35,9000,50,Porteur,Semi-remorque,3,0.847,174.97048406139314,451.45099999999996,0,8,11,3,1,5,0,0.8660254037844387,-0.4999999999999998,230.75,1.2369337979094075
1345,46,Marrakech,Tanger,574.0,Textile,1,8814,35.19,9000,50,Porteur,Porteur,1,0.9793333333333333,250.4688832054561,562.1373333333333,0,12,19,7,1,5,0,1.2246467991473532e-16,-1.0,166.61,1.3193696547355085
1346,15,Rabat,Agadir,566.0,Métal,2,24481,90.0,26000,90,Semi-remorque,Porteur,1,1.0,272.0111111111111,566.0,0,6,8,2,5,4,1,1.0,6.123233995736766e-17,132.3,1.0624799229039512
1347,47,Marrakech,Fes,533.0,Métal,2,24605,85.1,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9463461538461538,289.1304347826087,504.4025,0,10,17,7,5,5,1,0.49999999999999994,-0.8660254037844387,218.06,1.4611364245510585
1348,23,Casablanca,Agadir,508.0,Textile,1,7508,41.17,9000,50,Porteur,Porteur 19T Frigo,2,0.8342222222222222,182.36580034005343,423.7848888888889,0,7,14,7,0,5,0,0.9659258262890683,-0.25881904510252063,178.99,1.2583661417322833
1349,45,Marrakech,Fes,533.0,Électronique,0,1269,11.42,1500,14,Camionnette,Semi-remorque,3,0.846,111.12084063047286,450.918,0,11,16,5,2,5,0,0.258819045102521,-0.9659258262890682,241.03,1.2920396676494237
1350,42,Marrakech,Agadir,253.0,Textile,1,5471,31.74,9000,50,Porteur,Porteur,1,0.6347999999999999,172.36925015752993,160.60439999999997,1,11,14,3,1,4,0,0.258819045102521,-0.9659258262890682,60.47,1.0864175350341359
1351,16,Rabat,Agadir,566.0,Métal,2,24674,88.82,26000,90,Semi-remorque,Porteur,1,0.9868888888888888,277.79779328979964,558.579111111111,0,6,14,8,6,5,1,1.0,6.123233995736766e-17,160.95,1.2925634436235143
1352,5,Rabat,Fes,198.0,Électronique,0,1314,13.84,1500,14,Camionnette,Semi-remorque,3,0.9885714285714285,94.94219653179191,195.73714285714286,1,8,13,5,5,5,1,0.8660254037844387,-0.4999999999999998,80.96,1.1682539682539683
1353,37,Rabat,Tanger,271.0,Textile,1,5778,47.79,9000,50,Porteur,Camionnette,0,0.9558,120.90395480225989,259.0218,1,9,16,7,6,4,1,0.7071067811865476,-0.7071067811865475,35.55,1.1925528346192553
1354,34,Tanger,Casablanca,340.0,Électronique,0,1473,10.2,1500,14,Camionnette,Camionnette,0,0.982,144.41176470588238,333.88,1,6,11,5,1,4,0,1.0,6.123233995736766e-17,51.93,1.3885026737967916
1355,36,Tanger,Agadir,800.0,Textile,1,6299,46.82,9000,50,Porteur,Camionnette,0,0.9364,134.53652285348142,749.12,0,8,10,2,3,4,0,0.8660254037844387,-0.4999999999999998,107.36,1.22
1356,33,Casablanca,Agadir,508.0,Électronique,0,1469,11.0,1500,14,Camionnette,Camionnette,0,0.9793333333333333,133.54545454545453,497.5013333333333,0,6,8,2,4,5,0,1.0,6.123233995736766e-17,70.47,1.2610952040085897
1357,13,Rabat,Tanger,271.0,Métal,2,24992,85.87,26000,90,Semi-remorque,Porteur,1,0.9612307692307692,291.0446023058111,260.49353846153844,1,10,15,5,0,4,0,0.49999999999999994,-0.8660254037844387,77.81,1.30509896008051
1358,3,Fes,Tanger,317.0,Métal,2,24942,84.62,26000,90,Semi-remorque,Semi-remorque,3,0.9593076923076923,294.7530134719924,304.10053846153846,1,12,19,7,4,5,0,1.2246467991473532e-16,-1.0,141.65,1.2767012167643084
1359,3,Casablanca,Agadir,508.0,Métal,2,24424,89.04,26000,90,Semi-remorque,Semi-remorque,3,0.9893333333333334,274.303683737646,502.58133333333336,0,7,12,5,3,5,0,0.9659258262890683,-0.25881904510252063,223.78,1.2586051743532058
1361,37,Rabat,Tanger,271.0,Électronique,0,1355,13.83,1500,14,Camionnette,Camionnette,0,0.9878571428571429,97.97541576283442,267.7092857142857,1,8,12,4,0,4,0,0.8660254037844387,-0.4999999999999998,37.99,1.2744045622274405
1362,19,Marrakech,Tanger,574.0,Textile,1,8899,35.81,9000,50,Porteur,Porteur,1,0.9887777777777778,248.50600390952246,567.5584444444444,0,8,12,4,5,5,1,0.8660254037844387,-0.4999999999999998,180.21,1.427066835603421
1363,8,Rabat,Casablanca,87.0,Électronique,0,1489,12.82,1500,14,Camionnette,Semi-remorque,3,0.9926666666666667,116.14664586583463,86.36200000000001,3,12,16,4,3,5,0,1.2246467991473532e-16,-1.0,37.88,1.2440065681444994
1364,27,Rabat,Tanger,271.0,Électronique,0,1401,9.28,1500,14,Camionnette,Porteur 19T Frigo,2,0.934,150.96982758620692,253.114,1,10,13,3,1,5,0,0.49999999999999994,-0.8660254037844387,99.46,1.3107538218239325
1365,31,Agadir,Rabat,566.0,Électronique,0,1361,9.93,1500,14,Camionnette,Camionnette,0,0.9073333333333333,137.05941591137966,513.5506666666666,0,6,12,6,3,5,0,1.0,6.123233995736766e-17,81.2,1.3042081593318344
1366,9,Fes,Marrakech,533.0,Textile,1,7159,36.49,9000,50,Porteur,Semi-remorque,3,0.7954444444444444,196.19073718827076,423.9718888888889,0,8,15,7,5,5,1,0.8660254037844387,-0.4999999999999998,238.48,1.2783704100777271
1367,16,Agadir,Tanger,800.0,Textile,1,6789,32.26,9000,50,Porteur,Porteur,1,0.7543333333333333,210.44637321760695,603.4666666666667,0,9,15,6,6,4,1,0.7071067811865476,-0.7071067811865475,224.09,1.2732386363636363
1368,32,Casablanca,Agadir,508.0,Électronique,0,1215,12.21,1500,14,Camionnette,Camionnette,0,0.8721428571428572,99.5085995085995,443.04857142857145,0,9,11,2,1,4,0,0.7071067811865476,-0.7071067811865475,70.67,1.2646743020758768
1369,45,Fes,Marrakech,533.0,Métal,2,25674,83.25,26000,90,Semi-remorque,Semi-remorque,3,0.9874615384615385,308.39639639639637,526.317,0,10,13,3,0,5,0,0.49999999999999994,-0.8660254037844387,216.65,1.1613508442776734
1370,50,Casablanca,Marrakech,243.0,Textile,1,5875,34.12,9000,50,Porteur,Porteur,1,0.6823999999999999,172.18640093786638,165.82319999999999,1,6,8,2,5,5,1,1.0,6.123233995736766e-17,68.71,1.2852600074822296
1371,39,Tanger,Casablanca,340.0,Métal,2,24854,84.35,26000,90,Semi-remorque,Camionnette,0,0.9559230769230769,294.65323058684055,325.01384615384615,1,10,12,2,4,4,0,0.49999999999999994,-0.8660254037844387,43.15,1.1537433155080214
1372,36,Marrakech,Tanger,574.0,Électronique,0,1300,13.2,1500,14,Camionnette,Camionnette,0,0.9428571428571428,98.48484848484848,541.2,0,11,14,3,3,4,0,0.258819045102521,-0.9659258262890682,79.44,1.2581564776686727
1374,28,Marrakech,Agadir,253.0,Métal,2,24468,88.35,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9816666666666666,276.9439728353141,248.36166666666665,1,10,17,7,4,4,0,0.49999999999999994,-0.8660254037844387,88.44,1.248447204968944
1375,30,Fes,Rabat,198.0,Métal,2,24276,86.52,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9613333333333333,280.58252427184465,190.344,1,11,13,2,4,4,0,0.258819045102521,-0.9659258262890682,71.92,1.2972582972582973
1377,49,Tanger,Casablanca,340.0,Électronique,0,1366,10.82,1500,14,Camionnette,Semi-remorque,3,0.9106666666666666,126.24768946395564,309.62666666666667,1,10,17,7,5,4,1,0.49999999999999994,-0.8660254037844387,148.97,1.2518487394957982
1378,26,Tanger,Agadir,800.0,Métal,2,24811,86.45,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9605555555555556,286.9982648930017,768.4444444444445,0,12,14,2,4,5,0,1.2246467991473532e-16,-1.0,297.3,1.327232142857143
1379,4,Marrakech,Tanger,574.0,Métal,2,24019,88.16,26000,90,Semi-remorque,Semi-remorque,3,0.9795555555555555,272.44782214156083,562.2648888888889,0,11,19,8,1,5,0,0.258819045102521,-0.9659258262890682,256.43,1.2764061722249875
1380,35,Marrakech,Rabat,325.0,Électronique,0,1303,13.87,1500,14,Camionnette,Camionnette,0,0.9907142857142857,93.94376351838501,321.98214285714283,1,7,12,5,2,5,0,0.9659258262890683,-0.25881904510252063,48.92,1.3683916083916083
1381,14,Agadir,Marrakech,253.0,Textile,1,5656,49.08,9000,50,Porteur,Porteur,1,0.9815999999999999,115.24042379788102,248.3448,1,8,14,6,1,4,0,0.8660254037844387,-0.4999999999999998,71.21,1.2793747754222062
1382,42,Marrakech,Casablanca,243.0,Métal,2,24577,84.4,26000,90,Semi-remorque,Porteur,1,0.9452692307692308,291.19668246445497,229.70042307692307,1,9,13,4,6,5,1,0.7071067811865476,-0.7071067811865475,65.13,1.2182940516273848
1383,16,Tanger,Rabat,271.0,Textile,1,5272,39.02,9000,50,Porteur,Porteur,1,0.7804000000000001,135.11019989748846,211.4884,1,7,10,3,3,4,0,0.9659258262890683,-0.25881904510252063,75.37,1.2641730962764175
1384,43,Marrakech,Tanger,574.0,Métal,2,24672,89.81,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9978888888888889,274.71328359870836,572.7882222222222,0,11,17,6,2,5,0,0.258819045102521,-0.9659258262890682,225.9,1.405550024888004
1385,16,Fes,Marrakech,533.0,Textile,1,7527,42.08,9000,50,Porteur,Porteur,1,0.8416,178.8735741444867,448.57280000000003,0,12,19,7,2,5,0,1.2246467991473532e-16,-1.0,131.48,1.1212689749275113
1386,26,Marrakech,Rabat,325.0,Métal,2,25194,89.4,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9933333333333334,281.81208053691273,322.83333333333337,1,9,13,4,2,4,0,0.7071067811865476,-0.7071067811865475,123.55,1.3576923076923078
1387,49,Fes,Casablanca,302.0,Métal,2,25709,84.36,26000,90,Semi-remorque,Semi-remorque,3,0.9888076923076923,304.7534376481745,298.61992307692304,1,12,18,6,1,4,0,1.2246467991473532e-16,-1.0,137.38,1.299716177861873
1388,43,Casablanca,Tanger,340.0,Métal,2,24601,86.95,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9661111111111111,282.9327199539965,328.47777777777776,1,10,18,8,2,4,0,0.49999999999999994,-0.8660254037844387,121.89,1.2803571428571427
1389,40,Agadir,Marrakech,253.0,Métal,2,25569,84.34,26000,90,Semi-remorque,Camionnette,0,0.983423076923077,303.1657576476168,248.80603846153846,1,12,18,6,6,5,1,1.2246467991473532e-16,-1.0,37.53,1.3485447358965146
1390,30,Marrakech,Agadir,253.0,Textile,1,8936,33.81,9000,50,Porteur,Porteur 19T Frigo,2,0.9928888888888889,264.30050280981953,251.2008888888889,1,10,17,7,2,5,0,0.49999999999999994,-0.8660254037844387,92.01,1.2988424618859402
1391,25,Casablanca,Agadir,508.0,Métal,2,25702,84.99,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9885384615384616,302.4120484762914,502.17753846153846,0,8,13,5,0,5,0,0.8660254037844387,-0.4999999999999998,187.67,1.3193897637795273
1392,33,Agadir,Casablanca,508.0,Textile,1,5761,30.07,9000,50,Porteur,Camionnette,0,0.6401111111111111,191.58629863651478,325.1764444444444,0,12,15,3,0,4,0,1.2246467991473532e-16,-1.0,64.15,1.1479957050823193
1393,31,Casablanca,Agadir,508.0,Textile,1,5258,46.6,9000,50,Porteur,Camionnette,0,0.932,112.83261802575107,473.456,0,7,13,6,2,5,0,0.9659258262890683,-0.25881904510252063,68.96,1.2340730136005724
1394,31,Tanger,Fes,317.0,Électronique,0,1402,12.51,1500,14,Camionnette,Camionnette,0,0.9346666666666666,112.07034372501998,296.28933333333333,1,11,13,2,0,4,0,0.258819045102521,-0.9659258262890682,40.19,1.1525666762259823
1396,14,Fes,Rabat,198.0,Électronique,0,1241,9.83,1500,14,Camionnette,Porteur,1,0.8273333333333334,126.24618514750763,163.812,1,7,11,4,1,4,0,0.9659258262890683,-0.25881904510252063,48.03,1.1026170798898072
1397,31,Agadir,Fes,716.0,Électronique,0,1393,8.86,1500,14,Camionnette,Camionnette,0,0.9286666666666666,157.2234762979684,664.9253333333334,0,11,13,2,6,5,1,0.258819045102521,-0.9659258262890682,106.33,1.3500507872016252
1398,26,Agadir,Casablanca,508.0,Électronique,0,1320,11.62,1500,14,Camionnette,Porteur 19T Frigo,2,0.88,113.59724612736662,447.04,0,12,19,7,4,5,0,1.2246467991473532e-16,-1.0,172.95,1.215902699662542
1399,34,Rabat,Agadir,566.0,Textile,1,5652,44.9,9000,50,Porteur,Camionnette,0,0.898,125.87973273942094,508.26800000000003,0,9,11,2,0,4,0,0.7071067811865476,-0.7071067811865475,71.7,1.1516222293607454
1400,27,Rabat,Fes,198.0,Textile,1,7507,44.27,9000,50,Porteur,Porteur 19T Frigo,2,0.8854000000000001,169.573074316693,175.3092,1,6,13,7,3,5,0,1.0,6.123233995736766e-17,61.91,1.1167027417027418
1401,18,Casablanca,Fes,302.0,Électronique,0,1397,9.16,1500,14,Camionnette,Porteur,1,0.9313333333333333,152.5109170305677,281.2626666666667,1,6,13,7,4,4,0,1.0,6.123233995736766e-17,78.77,1.1855809753160746
1402,29,Tanger,Agadir,800.0,Métal,2,25217,82.37,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9698846153846153,306.14301323297315,775.9076923076923,0,12,20,8,0,4,0,1.2246467991473532e-16,-1.0,269.03,1.2010267857142856
1403,48,Fes,Casablanca,302.0,Électronique,0,1304,10.13,1500,14,Camionnette,Camionnette,0,0.8693333333333333,128.7265547877591,262.53866666666664,1,7,9,2,3,5,0,0.9659258262890683,-0.25881904510252063,44.42,1.3371462974111983
1404,17,Marrakech,Agadir,253.0,Métal,2,24287,81.65,26000,90,Semi-remorque,Porteur,1,0.9341153846153846,297.4525413349663,236.3311923076923,1,12,20,8,6,5,1,1.2246467991473532e-16,-1.0,72.82,1.308300395256917
1405,25,Fes,Casablanca,302.0,Métal,2,24543,85.97,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9552222222222222,285.4833081307433,288.4771111111111,1,9,15,6,2,4,0,0.7071067811865476,-0.7071067811865475,105.45,1.2470435193945129
1406,2,Fes,Rabat,198.0,Textile,1,6474,37.5,9000,50,Porteur,Semi-remorque,3,0.75,172.64,148.5,1,9,15,6,0,5,0,0.7071067811865476,-0.7071067811865475,93.42,1.3480519480519482
1407,12,Tanger,Casablanca,340.0,Électronique,0,1398,10.87,1500,14,Camionnette,Porteur,1,0.932,128.61085556577737,316.88,1,8,15,7,0,5,0,0.8660254037844387,-0.4999999999999998,97.66,1.3056149732620321
1408,11,Fes,Rabat,198.0,Électronique,0,1492,13.75,1500,14,Camionnette,Porteur,1,0.9946666666666667,108.50909090909092,196.94400000000002,1,7,10,3,3,4,0,0.9659258262890683,-0.25881904510252063,53.33,1.2242883379247014
1409,31,Marrakech,Casablanca,243.0,Métal,2,24622,85.14,26000,90,Semi-remorque,Camionnette,0,0.947,289.1942682640357,230.12099999999998,1,10,15,5,2,5,0,0.49999999999999994,-0.8660254037844387,28.1,1.0512532734754958
1410,12,Tanger,Marrakech,574.0,Métal,2,25373,82.94,26000,90,Semi-remorque,Porteur,1,0.9758846153846154,305.9199421268387,560.1577692307692,0,10,14,4,3,4,0,0.49999999999999994,-0.8660254037844387,178.68,1.414950902755781
1411,41,Fes,Casablanca,302.0,Textile,1,5354,38.01,9000,50,Porteur,Semi-remorque,3,0.7602,140.85766903446464,229.5804,1,7,10,3,3,5,0,0.9659258262890683,-0.25881904510252063,115.3,1.0908230842005675
1412,22,Casablanca,Rabat,87.0,Électronique,0,1411,12.66,1500,14,Camionnette,Porteur 19T Frigo,2,0.9406666666666667,111.45339652448656,81.838,3,8,11,3,5,5,1,0.8660254037844387,-0.4999999999999998,28.47,1.1687192118226601
1413,1,Rabat,Marrakech,325.0,Électronique,0,1461,8.97,1500,14,Camionnette,Semi-remorque,3,0.974,162.876254180602,316.55,1,12,14,2,0,5,0,1.2246467991473532e-16,-1.0,150.13,1.3198241758241758
1414,40,Marrakech,Rabat,325.0,Textile,1,5935,40.63,9000,50,Porteur,Camionnette,0,0.8126000000000001,146.07432931331527,264.095,1,9,17,8,3,4,0,0.7071067811865476,-0.7071067811865475,49.31,1.3793006993006993
1415,29,Marrakech,Rabat,325.0,Métal,2,24613,87.91,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9767777777777777,279.9795245137072,317.4527777777778,1,12,16,4,5,4,1,1.2246467991473532e-16,-1.0,128.76,1.4149450549450548
1416,21,Tanger,Fes,317.0,Électronique,0,1491,12.81,1500,14,Camionnette,Porteur 19T Frigo,2,0.994,116.39344262295081,315.098,1,8,11,3,3,5,0,0.8660254037844387,-0.4999999999999998,120.29,1.355227579990987
1417,17,Agadir,Tanger,800.0,Électronique,0,1284,10.14,1500,14,Camionnette,Porteur,1,0.856,126.62721893491124,684.8,0,12,20,8,4,4,0,1.2246467991473532e-16,-1.0,221.29,1.2573295454545454
1418,19,Tanger,Fes,317.0,Électronique,0,1212,12.38,1500,14,Camionnette,Porteur,1,0.8842857142857143,97.89983844911147,280.31857142857143,1,9,16,7,0,4,0,0.7071067811865476,-0.7071067811865475,89.52,1.2836248924577
1419,6,Fes,Rabat,198.0,Métal,2,24292,83.99,26000,90,Semi-remorque,Semi-remorque,3,0.9343076923076923,289.2249077271104,184.99292307692306,1,10,16,6,5,4,1,0.49999999999999994,-0.8660254037844387,89.38,1.2897546897546897
1420,11,Marrakech,Fes,533.0,Textile,1,8508,41.21,9000,50,Porteur,Porteur,1,0.9453333333333334,206.45474399417617,503.86266666666666,0,7,15,8,2,5,0,0.9659258262890683,-0.25881904510252063,147.42,1.2572062084257205
1421,42,Rabat,Marrakech,325.0,Métal,2,24933,87.01,26000,90,Semi-remorque,Porteur,1,0.9667777777777778,286.5532697391104,314.2027777777778,1,9,17,8,5,5,1,0.7071067811865476,-0.7071067811865475,89.34,1.2495104895104896
1422,36,Agadir,Marrakech,253.0,Électronique,0,1380,10.22,1500,14,Camionnette,Camionnette,0,0.92,135.0293542074364,232.76000000000002,1,10,16,6,4,5,0,0.49999999999999994,-0.8660254037844387,34.1,1.225296442687747
1423,37,Agadir,Fes,716.0,Métal,2,24189,88.45,26000,90,Semi-remorque,Camionnette,0,0.9827777777777779,273.47654041831544,703.668888888889,0,8,14,6,6,4,1,0.8660254037844387,-0.4999999999999998,93.67,1.1893092940578973
1425,28,Marrakech,Agadir,253.0,Électronique,0,1298,13.97,1500,14,Camionnette,Porteur 19T Frigo,2,0.9978571428571429,92.91338582677164,252.45785714285714,1,9,11,2,3,4,0,0.7071067811865476,-0.7071067811865475,91.37,1.2898080180688876
1426,20,Fes,Tanger,317.0,Métal,2,25389,80.85,26000,90,Semi-remorque,Porteur,1,0.9765,314.02597402597405,309.5505,1,10,18,8,1,5,0,0.49999999999999994,-0.8660254037844387,77.95,1.117722971035274
1427,1,Marrakech,Fes,533.0,Textile,1,6908,44.29,9000,50,Porteur,Semi-remorque,3,0.8858,155.97200270941522,472.13140000000004,0,8,13,5,2,4,0,0.8660254037844387,-0.4999999999999998,226.52,1.2142589118198874
1428,17,Marrakech,Fes,533.0,Électronique,0,1441,8.14,1500,14,Camionnette,Porteur,1,0.9606666666666667,177.027027027027,512.0353333333334,0,6,13,7,0,5,0,1.0,6.123233995736766e-17,136.8,1.1666382398089716
1429,31,Fes,Tanger,317.0,Électronique,0,1331,10.33,1500,14,Camionnette,Camionnette,0,0.8873333333333333,128.8480154888674,281.2846666666667,1,11,14,3,5,5,1,0.258819045102521,-0.9659258262890682,39.78,1.1408087180957844
1431,33,Agadir,Tanger,800.0,Métal,2,24852,89.89,26000,90,Semi-remorque,Camionnette,0,0.9987777777777778,276.471242629881,799.0222222222222,0,12,17,5,4,4,0,1.2246467991473532e-16,-1.0,111.16,1.2631818181818182
1432,11,Casablanca,Rabat,87.0,Textile,1,7285,35.24,9000,50,Porteur,Porteur,1,0.8094444444444444,206.72531214528942,70.42166666666667,3,6,9,3,4,5,0,1.0,6.123233995736766e-17,24.94,1.303030303030303
1434,23,Marrakech,Tanger,574.0,Métal,2,24190,83.13,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9303846153846154,290.9900156381571,534.0407692307692,0,8,14,6,3,4,0,0.8660254037844387,-0.4999999999999998,219.47,1.3655425584868093
1435,17,Rabat,Casablanca,87.0,Textile,1,8434,45.96,9000,50,Porteur,Porteur,1,0.9371111111111111,183.50739773716273,81.52866666666667,3,9,14,5,0,4,0,0.7071067811865476,-0.7071067811865475,21.4,1.1180773249738767
1437,2,Tanger,Rabat,271.0,Métal,2,25677,83.74,26000,90,Semi-remorque,Semi-remorque,3,0.9875769230769231,306.6276570336757,267.63334615384616,1,12,15,3,0,5,0,1.2246467991473532e-16,-1.0,111.25,1.172904586188719
1438,24,Tanger,Fes,317.0,Textile,1,6579,42.07,9000,50,Porteur,Porteur 19T Frigo,2,0.8414,156.38222010934157,266.72380000000004,1,11,17,6,3,5,0,0.258819045102521,-0.9659258262890682,119.17,1.3426092834610184
1439,22,Fes,Agadir,716.0,Métal,2,24131,80.33,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9281153846153846,300.39835677828955,664.5306153846153,0,7,13,6,2,4,0,0.9659258262890683,-0.25881904510252063,244.06,1.2173782920989626
1440,35,Fes,Tanger,317.0,Textile,1,6275,38.14,9000,50,Porteur,Camionnette,0,0.7628,164.5254326166754,241.8076,1,6,10,4,4,4,0,1.0,6.123233995736766e-17,40.96,1.1746486951534272
1441,35,Fes,Tanger,317.0,Textile,1,8524,45.15,9000,50,Porteur,Camionnette,0,0.9471111111111111,188.79291251384277,300.23422222222223,1,11,16,5,6,5,1,0.258819045102521,-0.9659258262890682,44.55,1.277602523659306
1442,6,Casablanca,Tanger,340.0,Électronique,0,1477,13.55,1500,14,Camionnette,Semi-remorque,3,0.9846666666666667,109.00369003690037,334.7866666666667,1,9,13,4,2,4,0,0.7071067811865476,-0.7071067811865475,139.68,1.1737815126050422
1443,29,Fes,Casablanca,302.0,Métal,2,25078,82.21,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9645384615384616,305.0480476827637,291.2906153846154,1,11,19,8,2,4,0,0.258819045102521,-0.9659258262890682,110.89,1.3113765373699149
1444,39,Agadir,Marrakech,253.0,Métal,2,25400,89.59,26000,90,Semi-remorque,Camionnette,0,0.9954444444444445,283.5137850206496,251.84744444444445,1,6,8,2,2,4,0,1.0,6.123233995736766e-17,31.97,1.1487603305785123
1445,4,Agadir,Rabat,566.0,Métal,2,25575,89.47,26000,90,Semi-remorque,Semi-remorque,3,0.9941111111111111,285.8500055884654,562.6668888888888,0,8,15,7,0,4,0,0.8660254037844387,-0.4999999999999998,238.41,1.2034830893488138
1446,24,Rabat,Marrakech,325.0,Électronique,0,1454,10.07,1500,14,Camionnette,Porteur 19T Frigo,2,0.9693333333333334,144.38927507447863,315.03333333333336,1,8,11,3,2,4,0,0.8660254037844387,-0.4999999999999998,120.98,1.3294505494505495
1447,42,Tanger,Agadir,800.0,Textile,1,5785,45.54,9000,50,Porteur,Porteur,1,0.9107999999999999,127.03118137900746,728.64,0,6,9,3,0,4,0,1.0,6.123233995736766e-17,195.42,1.110340909090909
1448,43,Fes,Tanger,317.0,Métal,2,24958,83.97,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9599230769230769,297.22519947600335,304.29561538461536,1,8,14,6,5,5,1,0.8660254037844387,-0.4999999999999998,118.62,1.3364127985579088
1449,28,Marrakech,Agadir,253.0,Métal,2,25124,81.8,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9663076923076923,307.13936430317847,244.47584615384616,1,7,15,8,5,4,1,0.9659258262890683,-0.25881904510252063,92.24,1.3020892151326933
1450,3,Fes,Casablanca,302.0,Électronique,0,1311,11.69,1500,14,Camionnette,Semi-remorque,3,0.874,112.14713430282293,263.948,1,8,13,5,2,5,0,0.8660254037844387,-0.4999999999999998,133.06,1.2588457899716177
1453,3,Agadir,Fes,716.0,Électronique,0,1329,13.12,1500,14,Camionnette,Semi-remorque,3,0.937142857142857,101.29573170731707,670.9942857142856,0,7,15,8,0,5,0,0.9659258262890683,-0.25881904510252063,313.47,1.2508778930566642
1454,4,Marrakech,Rabat,325.0,Textile,1,8584,42.09,9000,50,Porteur,Semi-remorque,3,0.9537777777777777,203.943929674507,309.97777777777776,1,6,11,5,2,5,0,1.0,6.123233995736766e-17,152.4,1.3397802197802198
1455,6,Rabat,Marrakech,325.0,Électronique,0,1215,9.12,1500,14,Camionnette,Semi-remorque,3,0.81,133.22368421052633,263.25,1,9,13,4,4,4,0,0.7071067811865476,-0.7071067811865475,137.81,1.2115164835164836
1456,15,Tanger,Casablanca,340.0,Électronique,0,1453,8.58,1500,14,Camionnette,Porteur,1,0.9686666666666667,169.34731934731934,329.3466666666667,1,7,12,5,3,4,0,0.9659258262890683,-0.25881904510252063,90.52,1.2101604278074867
1457,31,Marrakech,Fes,533.0,Textile,1,6856,44.51,9000,50,Porteur,Camionnette,0,0.8902,154.032801617614,474.4766,0,8,14,6,2,4,0,0.8660254037844387,-0.4999999999999998,72.2,1.2314514753539143
1458,42,Fes,Rabat,198.0,Métal,2,25527,83.04,26000,90,Semi-remorque,Porteur,1,0.9818076923076923,307.40606936416185,194.39792307692306,1,6,10,4,6,4,1,1.0,6.123233995736766e-17,56.02,1.2860422405876952
